"stagadenn","lec_hanv","kumun","insee","rummad","dibab",,,
,"Kersteun","Lanrodeg",22116,"Kêriadenn","Kersteun",,,
,"Coat an Doc'h","Lanrodeg",22116,"Kêriadenn","Koad an Doc'h",,,
,"Kerguillerm","Lanrodeg",22116,"Kêriadenn","Kergwilherm",,,
,"Lantic","Lannidig",22117,"Kumun","Lannidig",,,
,"Notre-Dame-de-la-Cour","Lannidig",22117,"Monumant","Itron-Varia al Lez",,,
,"Lanvallay","Lanvalae",22118,"Kumun","Lanvalae",,,
,"Saint-James","Lanvalae",22118,"Kêriadenn","Sant Jalm",,,
,"Saint-Piat","Lanvalae",22118,"Kêriadenn","Sant Piav",,,
,"Saint-Solen","Lanvalae",22118,"Kêriadenn","Sant-Solen",,,
,"Tressaint","Lanvalae",22118,"Kêriadenn","Tresent",,,
"Chapelle","Saint Carré","Lanvaeleg",22119,"Monumant","Chapel Sant Kare",,,
"Chapelle","Saint Maudez","Lanvaeleg",22119,"Monumant","Chapel Maodez",,,
"Église","Saint Brandan","Lanvaeleg",22119,"Monumant","Chapel Sant Brandan",,,
,"Saint-Carré","Lanvaeleg",22119,"Kêriadenn","Sant-Kare",,,
,"Lanvellec","Lanvaeleg",22119,"Kumun","Lanvaeleg",,,
"Château de","Rosanbo","Lanvaeleg",22119,"Monumant","Kastell Rozambaou",,,
,"Goas Ru","Lanvaeleg",22119,"Kêriadenn","Gwazh Ru",,,
,"Ar Riviéro","Lanvaeleg",22119,"Kêriadenn","Ar Riviero",,,
,"Lanvollon","Lannolon",22121,"Kumun","Lannolon",,,
,"Pont-lô","Lannolon",22121,"Kêriadenn","Ponlô",,,
"Parc d'Activités de","Ponlô","Lannolon",22121,"Takad","Tachenn Labourerezh Ponlô",,,
"Parc d'Activités des","Fontaines","Lannolon",22121,"Takad","Tachenn Labourerezh ar Feunteunioù",,,
,"Kercadiou","Lannolon",22121,"Kêriadenn","Kergadiou",,,
"Parc d'Activités de","Kercadiou","Lannolon",22121,"Takad","Tachenn Labourerezh Kergadiou",,,
"Zone Industrielle de","Saint-Hubert","Lannolon",22121,"Takad","Takad Greanterezh Sant-Ebeur",,,
"cité","Bel Air","Lannolon",22121,"Diseurt","Kêrig Bel Air",,,
"rue du","Parc","Lannolon",22121,"Hent","Straed ar Park",,,
"rue du","Viaduc","Lannolon",22121,"Hent","Straed ar C'harrbont",,,
"Le Champ du","Potier","Lannolon",22121,"Hent","Park ar Poder",,,
"Rue des","Fontaines","Lannolon",22121,"Hent","Straed ar Feunteunioù",,,
,"Derrien","Lanreunan",22122,"Kêriadenn","Derrien",,,
"La","Hutte à  l'Anguille","Lanreunan",22122,"Kêriadenn","La Hutte à  l'Anguille",,,
,"Laurenan","Lanreunan",22122,"Kumun","Lanreunan",,,
,"Lérignac","Lanreunan",22122,"Kêriadenn","Lerigneg",,,
,"Tertignon","Lanreunan",22122,"Kêriadenn","Tertignon",,,
"Manoir de la","Brousse","Lanreunan",22122,"Monumant","Maner ar Broust",,,
,"Léhon","Lehon",22123,"Kumun","Lehon",,,
,"Lescouët-Gouarec","Leskoed-Gwareg",22124,"Kumun","Leskoed-Gwareg",,,
"Rue de","Pont Corbel","Leskoed-Gwareg",22124,"Hent","Hent Pont Korbell",,,
"Rue du","Lavoir","Leskoed-Gwareg",22124,"Hent","Hent an Ôgalenn",,,
"Route du","Moulin","Leskoed-Gwareg",22124,"Hent","Hent ar Vilin",,,
"Venelle de","Monplaisir","Leskoed-Gwareg",22124,"Hent","Banell Monplaisir",,,
"Venelle de","Vaugarnez","Leskoed-Gwareg",22124,"Hent","Banell Vougarne",,,
"Ruelle","Bolann","Leskoed-Gwareg",22124,"Hent","Hent-vihan Bonlann",,,
,"Pont Corbel","Leskoed-Gwareg",22124,"Monumant","Pont Korbell",,,
"Le","Leslay","Al Leslae",22126,"Kumun","Al Leslae",,,
,"Kermouster","Lezardrev",22127,"Kêriadenn","Kervouster",,,
,"Lézardrieux","Lezardrev",22127,"Kumun","Lezardrev",,,
"L'Île à ","Bois","Lezardrev",22127,"Enez","Enez Koad",,,
"Grèves de l'Île à ","Bois","Lezardrev",22127,"Dour","Aodoù Enez Koad",,,
,"Kerscavet","Lezardrev",22127,"Kêriadenn","Kerskaved",,,
"Le","Coronc","Lokarn",22128,"Diseurt","Ar C'horonk",,,
,"Blerem an Salle","Lokarn",22128,"Kêriadenn","Blerem ar Sal",,,
,"Locarn","Lokarn",22128,"Kumun","Lokarn",,,
,"Notre-Dame de Loquétou","Lokarn",22128,"Diseurt","Itron-Varia Loketoù",,,
,"Goasco","Lokarn",22128,"Kêriadenn","Gwazhko",,,
"Le","Guellec","Lokarn",22128,"Kêriadenn","Ar Gelleg",,,
"Menhir du","Guellec","Lokarn",22128,"Monumant","Peulvan \Paotr-saout\ (Minez ar Gelleg)",,,
"Rivière de","Kersault","Lokarn",22128,"Dour","Riñvier Kerzaold",,,
"Bois du","Plessis","Lokarn",22128,"Koad","Koad ar Genkiz",,,
"Aire de","Quelenec","Lokarn",22128,"Diseurt","Leur ar Gelenneg",,,
,"Loc-Envel","Lokenvel",22129,"Kumun","Lokenvel",,,
"Calvaire","Saint-Sébastien","Lokenvel",22129,"Monumant","Kalvar sant Sebastian",,,
"Église","Saint-Envel","Lokenvel",22129,"Monumant","Iliz sant Envel",,,
"Fontaine","Saint-Envel","Lokenvel",22129,"Monumant","Feunteun sant Envel",,,
"Oratoire","Saint-Sébastien","Lokenvel",22129,"Monumant","Orater sant Sebastian",,,
"Chapelle du","Dresnay","Logivi-Plougraz",22131,"Monumant","Chapel an Dresnae",,,
"Chapelle","Saint Ivy","Logivi-Plougraz",22131,"Monumant","Chapel Sant Ivi",,,
"Chapelle","Saint Tugdual","Logivi-Plougraz",22131,"Monumant","Chapel Sant Tual",,,
"Chapelle","Saint Yves","Logivi-Plougraz",22131,"Monumant","Chapel Sant Eozan",,,
"Motte féodale de","Beffoù","Logivi-Plougraz",22131,"Monumant","Tosennoù Beffoù",,,
"Route du","Brohet","Logivi-Plougraz",22131,"Hent","Hent ar Broc'hed",,,
"Le","Pavé","Logivi-Plougraz",22131,"Uhelenn","Ar Pavez",,,
"Forêt de","Beffou","Logivi-Plougraz",22131,"Koad","Koad ar Markiz",,,
"Etang de","Beffou","Logivi-Plougraz",22131,"Dour","Stank Veffoù",,,
,"Beffou","Logivi-Plougraz",22131,"Kêriadenn","Beffoù",,,
,"Croix Joncour","Logivi-Plougraz",22131,"Kêriadenn","Kroaz Jonkour",,,
"Le","Dresnay","Logivi-Plougraz",22131,"Kêriadenn","An Dresnae",,,
,"Loguivy-Plougras","Logivi-Plougraz",22131,"Kumun","Logivi-Plougraz",,,
,"Trogorre","Logivi-Plougraz",22131,"Kêriadenn","Trogorr",,,
"Eglise","Saint-Emilion","Logivi-Plougraz",22131,"Monumant","Iliz Sant Milion",,,
"Château et manoir de","Kerroué","Logivi-Plougraz",22131,"Kêriadenn","Kastell ha maner Kerroue",,,
"Maison forestière du","Colonel Guillet","Logivi-Plougraz",22131,"Monumant","Ti-koadoù ar C'horonal Guillet",,,
,"Lohuec","Lohueg",22132,"Kumun","Lohueg",,,
"La","Maison Blanche","Lohueg",22132,"Kêriadenn","Ti Gwenn",,,
,"Loscouët-sur-Meu","Loskoed-ar-Mozon",22133,"Kumun","Loskoed-ar-Mozon",,,
,"Louannec","Louaneg",22134,"Kumun","Louaneg",,,
,"Mabilès","Louaneg",22134,"Kêriadenn","Mabiliez",,,
"Eglise","Saint Yves","Louaneg",22134,"Monumant","Iliz Sant Erwan",,,
"Ruisseau du","Truzugal","Louaneg",22134,"Dour","Rinier Truzugal",,,
,"Truzugal","Louaneg",22134,"Kêriadenn","Truzugal",,,
"Cité de","Carlouar","Louaneg",22134,"Hent","Kêrig Karlouar",,,
"Rue des","Mouettes","Louaneg",22134,"Hent","Straed ar Skreved",,,
,"Cabatouz","Louaneg",22134,"Kêriadenn","Kabatouz",,,
,"Menez-Hoguéné","Louergad",22135,"Uhelenn","Menez Hogene",,,
"Gare de","Belle-Isle-Bégard","Louergad",22135,"Monumant","Gar Koneri",,,
,"Saint-Michel","Louergad",22135,"Kêriadenn","Kervikael",,,
"Forêt de","Coat-an-Hay","Louergad",22135,"Koad","Koad an Hae",,,
,"Louargat","Louergad",22135,"Kumun","Louergad",,,
,"Saint-Eloi","Louergad",22135,"Kêriadenn","Sant-Eler",,,
"Lec'h de","Saint-Michel","Louergad",22135,"Monumant","Boul Kervikael",,,
,"Hoguene","Louergad",22135,"Kêriadenn","An Hogene",,,
,"Guernalin","Louergad",22135,"Kêriadenn","Gwernalin",,,
,"Pen an Stang","Louergad",22135,"Kêriadenn","Penn ar Stank",,,
"École des deux","Ménés","Louergad",22135,"Monumant","Skol an Daou Venez",,,
,"Pergat","Louergad",22135,"Kêriadenn","Pergad",,,
"Eglise","Notre-Dame des Neiges","Louergad",22135,"Monumant","Iliz Itron-Varia an Erc'h",,,
"Allée du","Fao","Louergad",22135,"Hent","Alez ar Fao",,,
"Chapelle","Saint-Paul","Louergad",22135,"Monumant","Chapel Sant Paol",,,
,"Lande Supplice","Louergad",22135,"Maez","Lann ar Justisoù",,,
,"Pen-Jaudy","Louergad",22135,"Kêriadenn","Penn Yeodi",,,
,"Saint-Paul","Louergad",22135,"Kêriadenn","Sant Paol",,,
,"Kervoelou","Louergad",22135,"Kêriadenn","Kervoeloù",,,
,"Cadélac","Loudieg",22136,"Kêriadenn","Kadelag",,,
"Forêt de","Loudéac","Loudieg",22136,"Koad","Koad Loudieg",,,
,"Loudéac","Loudieg",22136,"Kumun","Loudieg",,,
,"Haut-Breil","Loudieg",22136,"Kêriadenn","Haut Breil",,,
,"Saint-Maurice","Loudieg",22136,"Kêriadenn","Sant-Voris",,,
,"Truguez","Loudieg",22136,"Kêriadenn","Trugez",,,
"La","Ville-Donnio","Loudieg",22136,"Kêriadenn","Kerdonioù",,,
"Avenue des","Combattants","Loudieg",22136,"Hent","Bali ar Vrezelourien",,,
"La","Fourchette","Loudieg",22136,"Takad","La Fourchette",,,
"Jardins de","Kervézennec","Mêl-Karaez",22137,"Diseurt","Liorzh Kerwezhenneg",,,
"Etang des","Sources","Mêl-Karaez",22137,"Dour","Stank ar Feunteunioù",,,
,"Kergonan","Mêl-Karaez",22137,"Kêriadenn","Kergonan",,,
,"Keroguiou","Mêl-Karaez",22137,"Kêriadenn","Kergiou",,,
,"Maël-Carhaix","Mêl-Karaez",22137,"Kumun","Mêl-Karaez",,,
,"Quilliou Guéguen","Mêl-Karaez",22137,"Kêriadenn","Killioù da Grec'h",,,
"Chapelle de","Kerlean","Mêl-Karaez",22137,"Monumant","Chapel Kerlean",,,
,"Kerlean","Mêl-Karaez",22137,"Kêriadenn","Kerlean",,,
"Église","Saint-Pierre","Mêl-Karaez",22137,"Monumant","Iliz sant Pêr",,,
,"Coat Cornet","Mêl-Karaez",22137,"Kêriadenn","Koad Korned",,,
"Moulin de","Keroguiou","Mêl-Karaez",22137,"Monumant","Meilh Gergiou",,,
"Quartier de la","Gare","Mêl-Karaez",22137,"Karter","Karter ar Gar",,,
"Chapelle","Saint Pierre de Kerilismaël","Mael-Pestivien",22138,"Maez","Chapel sant Pêr Kerizvael",,,
"Commanderie de","Maël et Louch","Mael-Pestivien",22138,"Diseurt","Komandiri Mael hag al Loc'h",,,
,"Coat-Maël","Mael-Pestivien",22138,"Kêriadenn","Koad Mael",,,
,"Kerbalen","Mael-Pestivien",22138,"Kêriadenn","Kerbalen",,,
,"Maël-Pestivien","Mael-Pestivien",22138,"Kumun","Mael-Pestivien",,,
,"Saint-Isidore","Mael-Pestivien",22138,"Kêriadenn","Sant-Izidor",,,
,"La Chaire des Druides","Mael-Pestivien",22138,"Monumant","Kador an Drouized",,,
,"Coat Hamon","Mael-Pestivien",22138,"Kêriadenn","Koad Hamon",,,
,"Kerleon","Mael-Pestivien",22138,"Kêriadenn","Kerleon",,,
"Etang du","Loc'h","Mael-Pestivien",22138,"Dour","Stank al Loc'h",,,
"Église","Saint-Gildas","Magor",22139,"Monumant","Iliz sant Weltaz",,,
,"Magoar","Magor",22139,"Kumun","Magor",,,
"Le","Boissy","Lanvelor",22140,"Kêriadenn","Le Boissy",,,
"La","Malhoure","Lanvelor",22140,"Kumun","Lanvelor",,,
,"Mantallot","Mantallod",22141,"Kumun","Mantallod",,,
"L'","Hôpital","Matignon",22143,"Kêriadenn","An Ospital",,,
,"Matignon","Matignon",22143,"Kumun","Matignon",,,
,"Saint-Germain","Matignon",22143,"Kêriadenn","Sant Jermen",,,
"La","Méaugon","Lanvealgon",22144,"Kumun","Lanvealgon",,,
"Eglise","Saint Méaugon","Lanvealgon",22144,"Monumant","Iliz Sant Vealgon",,,
,"Mégrit","Megrid",22145,"Kumun","Megrid",,,
"Fontaine de","Lomélus","Melioneg",22146,"Diseurt","Feuntan Lomeluz",,,
,"Trégarantec","Melioneg",22146,"Kêriadenn","Tregaranteg",,,
,"Belle Vue","Melioneg",22146,"Kêriadenn","Lann Galehouarn",,,
,"Bodéalen","Melioneg",22146,"Kêriadenn","Bodealen",,,
,"Botcol","Melioneg",22146,"Kêriadenn","Botkoll",,,
,"Bourg Kerrac'h","Melioneg",22146,"Kêriadenn","Bourc'h Kerrac'h",,,
,"Caleshouarn","Melioneg",22146,"Kêriadenn","Kalehouarn",,,
,"Castel Pic","Melioneg",22146,"Kêriadenn","Kastell Pik",,,
,"Coat en Bars","Melioneg",22146,"Kêriadenn","Koed Barz",,,
,"Cornec","Melioneg",22146,"Kêriadenn","Korneg",,,
,"Cosfornio","Melioneg",22146,"Kêriadenn","Ar Gozhfornioù",,,
,"Cosquer Boulo","Melioneg",22146,"Kêriadenn","Ar Gozhkêr Bouloù",,,
,"Croas Haor","Melioneg",22146,"Kêriadenn","Kroez ar C'haor",,,
,"Croas Hent","Melioneg",22146,"Kêriadenn","Kroeshent",,,
"La","Croix Hinchou","Melioneg",22146,"Kêriadenn","Kroezru Heñchoù",,,
,"Goas er Golen","Melioneg",22146,"Kêriadenn","Gwezh ar Gollenn",,,
,"Hacadour","Melioneg",22146,"Kêriadenn","Hakadour",,,
,"Keramour","Melioneg",22146,"Kêriadenn","Keramour",,,
,"Keraudy","Melioneg",22146,"Kêriadenn","Keraodi",,,
,"Kerbellec","Melioneg",22146,"Kêriadenn","Kerbeleg",,,
,"Kerchopine","Melioneg",22146,"Kêriadenn","Kerchopin",,,
,"Kerdoué","Melioneg",22146,"Kêriadenn","Kerdoue",,,
,"Kergavy","Melioneg",22146,"Kêriadenn","Kergavi",,,
,"Kergoran","Melioneg",22146,"Kêriadenn","Kergoran",,,
,"Kergoac'h","Melioneg",22146,"Kêriadenn","Kergouac'h",,,
,"Kerguillic","Melioneg",22146,"Kêriadenn","Kergillig",,,
,"Kerjean","Melioneg",22146,"Kêriadenn","Kerjan",,,
,"Kerjean","Melioneg",22146,"Kêriadenn","Skoter",,,
,"Kermaria","Melioneg",22146,"Kêriadenn","Kermaria",,,
,"Kermaria","Melioneg",22146,"Kêriadenn","Lann Roc'hoù",,,
,"Kermer","Melioneg",22146,"Kêriadenn","Kermer",,,
,"Kernombre","Melioneg",22146,"Kêriadenn","Kernomb",,,
,"Kervéro","Melioneg",22146,"Kêriadenn","Kerveroù",,,
,"Kervève","Melioneg",22146,"Kêriadenn","Kervev",,,
,"Kerzozé","Melioneg",22146,"Kêriadenn","Kersaoz",,,
,"Lan Izel","Melioneg",22146,"Kêriadenn","Lann ar Berenn",,,
,"Locmaria","Melioneg",22146,"Kêriadenn","Lokmaria",,,
,"Lomélus","Melioneg",22146,"Kêriadenn","Lomeluz",,,
,"Mané Curé","Melioneg",22146,"Kêriadenn","Mane Kure",,,
,"Manez Hamon","Melioneg",22146,"Kêriadenn","Mane Hamon",,,
,"Ménez Vran","Melioneg",22146,"Kêriadenn","Menez ar Vran",,,
,"Minégu","Melioneg",22146,"Kêriadenn","Minegu",,,
,"Minez Guen","Melioneg",22146,"Kêriadenn","Menez Gwenn",,,
"Moulin de","Kergoran","Melioneg",22146,"Monumant","Milin Gergoran",,,
,"Menez Loup","Melioneg",22146,"Kêriadenn","Menez Laou",,,
"Le","Moulin du Pont","Melioneg",22146,"Kêriadenn","Milin ar Pont",,,
"Le","Moulin Duot","Melioneg",22146,"Kêriadenn","Milin Duod",,,
,"Pempoulaudren","Melioneg",22146,"Kêriadenn","Pempoullaodren",,,
,"Pempoulnerven","Melioneg",22146,"Kêriadenn","Pempoulnervenn",,,
,"Penfave","Melioneg",22146,"Kêriadenn","Penfav",,,
,"Penher","Melioneg",22146,"Kêriadenn","Penc'hêr",,,
,"Pont Croix","Melioneg",22146,"Kêriadenn","Pont Kroez",,,
"Le","Poul","Melioneg",22146,"Kêriadenn","Ar Poull",,,
,"Poulpren","Melioneg",22146,"Kêriadenn","Poulprenn",,,
,"Pratigou","Melioneg",22146,"Kêriadenn","Pratigoù",,,
,"Rénernic","Melioneg",22146,"Kêriadenn","Renernig",,,
,"Rescano","Melioneg",22146,"Kêriadenn","Reskanoù",,,
"Le","Reste","Melioneg",22146,"Kêriadenn","Ar Rest",,,
,"Restehales","Melioneg",22146,"Kêriadenn","Restehallez",,,
,"Restemblayes","Melioneg",22146,"Kêriadenn","Restevleiez",,,
,"Roc'h Lan","Melioneg",22146,"Kêriadenn","Roc'h Lann",,,
,"Saint-Auny","Melioneg",22146,"Kêriadenn","Sant-Tourni",,,
,"Stang Carhaix","Melioneg",22146,"Kêriadenn","Stank Karaez",,,
,"Tachenou","Melioneg",22146,"Kêriadenn","Tachennoù",,,
,"Torhoet","Melioneg",22146,"Kêriadenn","Torc'hoed",,,
,"Ty Glas","Melioneg",22146,"Kêriadenn","Ti Glas",,,
,"Ty Ru","Melioneg",22146,"Kêriadenn","Ti Ruz",,,
"Le","Vénec","Melioneg",22146,"Kêriadenn","Ar Veneg",,,
,"Villeneuve","Melioneg",22146,"Kêriadenn","Ar Gernevez",,,
,"Ty Cathu","Melioneg",22146,"Kêriadenn","Ti Katu",,,
,"Bel Avenir","Melioneg",22146,"Kêriadenn","Ar C'hloñs",,,
,"Mellionnec","Melioneg",22146,"Kumun","Melioneg",,,
,"Resthouanet","Melioneg",22146,"Kêriadenn","Restehouanez",,,
"Château","Trégarantec","Melioneg",22146,"Monumant","Kastell Tregaranteg",,,
"Chapelle","Saint-Auny","Melioneg",22146,"Monumant","Chapel Sant Tourni",,,
"La Croix de","Saint-Auny","Melioneg",22146,"Monumant","Kroez Sant Tourni",,,
"Forêt de la","Hardouinais","Medrigneg",22147,"Koad","Koad Alan",,,
,"Merdrignac","Medrigneg",22147,"Kumun","Medrigneg",,,
"Le","Vieux Bourg","Medrigneg",22147,"Kêriadenn","Ar Vourc'h Kozh",,,
"Lycée du","Méné","Medrigneg",22147,"Monumant","Lise ar Menez",,,
,"Mérillac","Merelieg",22148,"Kumun","Merelieg",,,
,"Merléac","Merleag",22149,"Kumun","Merleag",,,
,"Saint-Léon","Merleag",22149,"Kêriadenn","Sant Leon",,,
,"Beg-ar-Hra","Ar Merzher(-Gwengamp)",22150,"Hent","Beg-ar-C'hra",,,
"Le","Merzer","Ar Merzher(-Gwengamp)",22150,"Kumun","Ar Merzher(-Gwengamp)",,,
,"Meslin","Melin",22151,"Kumun","Melin",,,
,"Trégenestre","Melin",22151,"Kêriadenn","Tregenestr",,,
,"Minihy-Tréguier","Ar Vinic'hi",22152,"Kumun","Ar Vinic'hi",,,
,"Pont-Losquet","Ar Vinic'hi",22152,"Kêriadenn","Pont Losket",,,
,"Kermartin","Ar Vinic'hi",22152,"Kêriadenn","Kervarzhin",,,
,"Langazou","Ar Vinic'hi",22152,"Diseurt","Langazoù",,,
,"Kerfolic","Ar Vinic'hi",22152,"Kêriadenn","Kerfollig",,,
,"Convenant Vraz","Ar Vinic'hi",22152,"Kêriadenn","Komanant Vras",,,
"Eglise","Saint Yves","Ar Vinic'hi",22152,"Monumant","Iliz Sant Erwan",,,
,"Moncontour","Monkontour",22153,"Kumun","Monkontour",,,
"Hôtel","Latimier- Du Clézieux","Monkontour",22153,"Monumant","Ostel Latimier-du Clézieux",,,
"Hôtel de","Kerjégu","Monkontour",22153,"Monumant","Ostel Kerjegu",,,
"Eglise","Saint-Mathurin","Monkontour",22153,"Monumant","Iliz Sant Matilin",,,
"Ruisseau de l'","Etang","Monkontour",22153,"Dour","Gwazh ar Stank",,,
"Place du","Martray","Monkontour",22153,"Hent","Plasenn ar Martred",,,
"Rue du","Temple","Monkontour",22153,"Hent","Straed an Templ",,,
"Poterne","Saint-Jean","Monkontour",22153,"Monumant","Postern Sant Yann",,,
"Rue des","Dames","Monkontour",22153,"Hent","Straed an Itronezed",,,
,"Morieux","Morieg",22154,"Kumun","Morieg",,,
"Le","Bout-ès-Loup","Ar Voudenn",22155,"Kêriadenn","Le Bout-ès-Loup",,,
"La","Motte","Ar Voudenn",22155,"Kumun","Ar Voudenn",,,
,"Danouët","Mousteruz",22156,"Kêriadenn","An Dannoed",,,
,"Moustéru","Mousteruz",22156,"Kumun","Mousteruz",,,
"Église","Notre-Dame de Moustéru","Mousteruz",22156,"Monumant","Iliz Itron-Varia Mousteruz",,,
"Fontaine du","Bas du Bourg","Mousteruz",22156,"Monumant","Feunteun Traou-Bourk",,,
"Rue de la","Mairie","Mousteruz",22156,"Hent","Straed an Ti-kêr",,,
"Rue de l'","Eglise","Mousteruz",22156,"Hent","Straed an Iliz",,,
"Rue de l'","Ecole","Mousteruz",22156,"Hent","Straed ar Skol",,,
"Rue de l'","Armor","Mousteruz",22156,"Hent","Straed an Arvor",,,
"Rue de l'","Argoat","Mousteruz",22156,"Hent","Straed an Argoad",,,
,"Penquer","Mousteruz",22156,"Kêriadenn","Penkêr",,,
"Parc éolien de","Penquer","Mousteruz",22156,"Diseurt","Parkad rodoù-avel Penkêr",,,
"Le","Moustoir","Ar Vouster",22157,"Kumun","Ar Vouster",,,
,"Kervoaguel","Ar Vouster",22157,"Kêriadenn","Kerwagel",,,
,"Kerhon","Ar Vouster",22157,"Kêriadenn","Kerc'hon",,,
"Fontaine de","Kervoaguel","Ar Vouster",22157,"Monumant","Feunteun Gerwagel",,,
"Colline de","Kervoaguel","Ar Vouster",22157,"Uhelenn","Menez Kerwagel",,,
"Le","Helesser","Ar Vouster",22157,"Kêriadenn","An Heleser",,,
,"Porz an Plas","Ar Vouster",22157,"Kêriadenn","Porzh ar Plas",,,
"Chapelle","Sainte-Barbe","Ar Vouster",22157,"Monumant","Chapel Santez Barba",,,
"Chapelle de","La Croix Neuve","Ar Vouster",22157,"Monumant","Chapel ar Groaz Nevez",,,
"Le calvaire de","Kerléon","Ar Vouster",22157,"Monumant","Kroaz Kerleon",,,
,"Kerleon","Ar Vouster",22157,"Kêriadenn","Kerleon",,,
"Le calvaire du","Cimetière","Ar Vouster",22157,"Monumant","Kroaz ar Vered",,,
,"Kerantré","Ar Vouster",22157,"Diseurt","Kerantre",,,
,"Leinhon","Ar Vouster",22157,"Kêriadenn","Leinhon",,,
"Rue des","Genêts","Ar Vouster",22157,"Hent","Straed ar Banal",,,
"Église","Saint-Juvénal","Ar Vouster",22157,"Monumant","Iliz Sant Juvenal",,,
,"Penn al Lann","Ar Vouster",22157,"Takad","Penn al Lann",,,
,"Kerbiquet","Ar Vouster",22157,"Kêriadenn","Kerbiked",,,
"Jardins de l'","Aqueduc","Ar Vouster",22157,"Monumant","Liorzhoù an Doursan",,,
"Rue des","Ajoncs","Ar Vouster",22157,"Hent","Straed al Lann",,,
"Rue des","Aubépines","Ar Vouster",22157,"Hent","Straed ar Spern-gwenn",,,
"Rue des","Fougères","Ar Vouster",22157,"Hent","Straed ar Raden",,,
,"Poulhalec","Mur",22158,"Kêriadenn","Poull Haleg",,,
"Calvaire de","Bezenan","Mur",22158,"Monumant","Kalvar Bezenan",,,
"Fontaine et Lavoir","Goaz' Vioc'h","Mur",22158,"Monumant","Feuntan hag Aoglenn Gwazh Vioc'h",,,
,"Curlan","Mur",22158,"Kêriadenn","Kurlann",,,
,"Mûr-de-Bretagne","Mur",22158,"Kumun","Mur",,,
,"Bodauffret","Mur",22158,"Kêriadenn","Bodaofred",,,
,"Poulhibet","Mur",22158,"Kêriadenn","Poulc'hwibed",,,
,"Squiviec","Mur",22158,"Kêriadenn","Skivieg",,,
,"Coëtnohen Bihan","Mur",22158,"Kêriadenn","Koednoc'hen Vihan",,,
"Le","Pont Brun","Mur",22158,"Kêriadenn","Pont Brun",,,
"Le","Pontguern","Mur",22158,"Kêriadenn","Pont Gwern",,,
,"Poulpry","Mur",22158,"Kêriadenn","Poulpri",,,
,"Ty Névez","Mur",22158,"Kêriadenn","Ti Nevez",,,
,"Lannec Rouz","Mur",22158,"Kêriadenn","Lanneg Rous",,,
"Pays de","Mûr-de-Bretagne",99999,22158,"Bro","Bro-Vur",,,
"Aire de Covoiturage","Michelle le Brun","Mur",22158,"Takad","Leur-genweturañ Michelle Le Brun",,,
"Chapelle","Sainte Suzanne","Mur",22158,"Monumant","Chapel Santez Suzanna",,,
"Aire de covoiturage","Sainte Suzanne","Mur",22158,"Takad","Leur-genweturañ Santez Suzanna",,,
,"Landroanec","Mur",22158,"Kêriadenn","Landroaneg",,,
,"Kermeur","Mur",22158,"Takad","Kermeur",,,
"Anse de","Guerlédan","Mur",22158,"Dour","Poull Keriuhel",,,
,"Keryhuel","Mur",22158,"Kêriadenn","Keriuhel",,,
"Le","Cosquer","Mur",22158,"Kêriadenn","Ar Gozhkêr",,,
,"Kerguillaume","Mur",22158,"Kêriadenn","Kergwilhom",,,
"Le","Heinclass","Mur",22158,"Kêriadenn","Hent Glas",,,
"Le","Neveist","Mur",22158,"Kêriadenn","Neveid",,,
,"Savehiaul","Mur",22158,"Kêriadenn","Sav-heol",,,
,"Stangermel","Mur",22158,"Kêriadenn","Stankermel",,,
,"Trévejean","Mur",22158,"Kêriadenn","Trevejan",,,
"Rue","Sainte-Suzanne","Mur",22158,"Hent","Straed Santez-Suzanna",,,
,"Kergoric","Mur",22158,"Kêriadenn","Kergorrig",,,
"Ecluse de","Saint-Samson","Mur",22158,"Monumant","Skluz Sant-Samzun",,,
,"Guerlédan","Mur",22158,"Kêriadenn","Gwerledan",,,
"Ecluse de","Guerlédan","Mur",22158,"Monumant","Skluz Gwerledan",,,
"Ecluse de","Kergoric","Mur",22158,"Monumant","Skluz Kergorrig",,,
"Ecluse de","Poulhuibet","Mur",22158,"Monumant","Skluz Poulc'hwibed",,,
,"Quénécan","Mur",22158,"Kêriadenn","Kenekann",,,
"Ecluse de","Quénécan","Mur",22158,"Monumant","Skluz Kenekann",,,
,"Roduel","Mur",22158,"Kêriadenn","Ar Roduel Vras",,,
"Le Petit","Roduel","Mur",22158,"Kêriadenn","Ar Roduel Vihan",,,
,"Coëtnohen Braz","Mur",22158,"Kêriadenn","Koednoc'hen Vras",,,
,"Noyal","Noual-Pentevr",22160,"Kumun","Noual-Pentevr",,,
,"Saint-Sulien","Noual-Pentevr",22160,"Kêriadenn","Sant Sulien",,,
,"Pabu","Pabu",22161,"Kumun","Pabu",,,
"Église","Saint-Thugdual","Pabu",22161,"Monumant","Iliz sant Tudal",,,
"Manoir de","Kerhuel","Pabu",22161,"Diseurt","Maner Keruhel",,,
,"Kergoz","Pabu",22161,"Karter","Ar Gergozh",,,
"École publique du","Bourg","Pabu",22161,"Monumant","Skol bublik ar Bourk",,,
"Espace Commercial","Saint Loup","Pabu",22161,"Takad","Takad Kenwerzh Sant Loup",,,
,"Munhorre","Pabu",22161,"Kêriadenn","Munc'horr",,,
"Chapelle de","Kergrist","Pempoull",22162,"Monumant","Chapel Kergrist",,,
"Île","Saint-Rion","Pempoull",22162,"Enez","Enez Sant-Rion",,,
