"stagadenn","lec_hanv","kumun","insee","rummad","dibab","deiziad_degemer","niv"
"Calvaire de","Kermoël","Begnen",56017,"Monumant","Kroez Kermoel",12/11/2012,124977
,"Kermoël","Begnen",56017,"Kêriadenn","Kermoel",12/11/2012,124975
,"Kermorice","Begnen",56017,"Kêriadenn","Kermoris",12/11/2012,14679
,"Keroger","Begnen",56017,"Kêriadenn","Kêr Roger",12/11/2012,14676
,"Kerolivier","Begnen",56017,"Kêriadenn","Kerolier",12/11/2012,124980
,"Kerousserh","Begnen",56017,"Kêriadenn","Kerouserh",12/11/2012,124982
"La","Ville Blanche","Rospezh",22265,"Kêriadenn","Ar Gêr Wenn",12/11/2012,130022
"Chapelle de","Ville Blanche","Rospezh",22265,"Kêriadenn","Chapel ar Gêr Wenn",12/11/2012,130027
,"Kerparc","Begnen",56017,"Kêriadenn","Kerpark",12/11/2012,124984
,"Kerpochard","Begnen",56017,"Kêriadenn","Kerbochar",12/11/2012,14663
,"Kerra","Begnen",56017,"Kêriadenn","Kerra",12/11/2012,124925
"Chapelle","Saint Dogmael","Rospezh",22265,"Monumant","Chapel Sant Doñvael",12/11/2012,112813
,"Kerran","Begnen",56017,"Kêriadenn","Kerran",12/11/2012,124940
"Petit","Kerran","Begnen",56017,"Kêriadenn","Kerran Vihan",12/11/2012,124941
,"Kersalouz Haut","Begnen",56017,"Kêriadenn","Kersalouz Iuhel",12/11/2012,124985
,"Kersuzan","Begnen",56017,"Kêriadenn","Kersuzan",12/11/2012,124987
,"Kersuzanne","Begnen",56017,"Kêriadenn","Ker Suzann",12/11/2012,124989
,"Kervéguin","Begnen",56017,"Kêriadenn","Kervegin",12/11/2012,14644
,"Kervigueno","Begnen",56017,"Kêriadenn","Kervigenoù",12/11/2012,14639
,"Kervodigan","Begnen",56017,"Kêriadenn","Kervodigan",12/11/2012,124990
"Calvaire de","Kervodigan","Begnen",56017,"Monumant","Kroez Kervodigan",12/11/2012,125106
"La","Lande de Bignan","Begnen",56017,"Kêriadenn","Lann Vegnen",12/11/2012,124650
,"Sainte-Suzanne","Begnen",56017,"Kêriadenn","Santez-Suzann",12/11/2012,125065
"Chapelle","Saint-Lubin Sainte-Suzanne","Begnen",56017,"Monumant","Chapel Sant Lubin Santez Suzann",12/11/2012,125066
,"Lande Chebo","Begnen",56017,"Kêriadenn","Lann Chebaod",12/11/2012,124993
,"Langouhern","Begnen",56017,"Kêriadenn","Langouhern",12/11/2012,14652
,"Lann er Bonn","Begnen",56017,"Kêriadenn","Lann ar Bonn",12/11/2012,125002
,"Lann Kergan","Begnen",56017,"Kêriadenn","Lann Kergan",12/11/2012,124907
,"Lann Minsal","Begnen",56017,"Kêriadenn","Lann Mensal",12/11/2012,125003
,"Lanoiseau","Begnen",56017,"Kêriadenn","Lanouezoù",12/11/2012,14638
"Le","Levé","Begnen",56017,"Kêriadenn","Ar Leve",12/11/2012,125004
,"Luhan Blanc","Begnen",56017,"Maez","Luc'hanblan",12/11/2012,125005
"Le","Mégoët","Begnen",56017,"Kêriadenn","Ar Megoed",12/11/2012,14637
"Le","Menhir (Bézo)","Begnen",56017,"Monumant","Ar Maen-hir",12/11/2012,125020
,"Mercerio","Begnen",56017,"Kêriadenn","Merserioù",12/11/2012,125022
"La","Motte","Begnen",56017,"Kêriadenn","Ar Votenn",12/11/2012,125025
"Le","Naud","Begnen",56017,"Kêriadenn","An Aod",12/11/2012,125026
"Ruisseau de","Kergueurh","Moustoer-Logunec'h",56141,"Dour","Riolenn Kergeurh",12/11/2012,125228
,"Kergueurh (Est)","Moustoer-Logunec'h",56141,"Kêriadenn","Kergeurh",12/11/2012,124919
,"Kerdel","Buelion",56027,"Kêriadenn","Kerdel",12/11/2012,105398
,"Kerantily","Sant-Yann-Brevele",56222,"Kêriadenn","Kerantili",12/11/2012,70870
"Le","Bézo","Begnen",56017,"Kêriadenn","Ar Bezoù",12/11/2012,4235
"Côte des","Sables",99999,99999,"Takad","An Aodoù-traezh",11/11/2012,118824
,"Porsliogan","Konk-Leon",29040,"Kêriadenn","Porzh Liogan",09/11/2012,87984
,"Grève Bleue","Konk-Leon",29040,"Dour","Porzh Padell",09/11/2012,119433
,"Lahaouog","Konk-Leon",29040,"Dour","Lac'haouog",09/11/2012,120923
,"Mougou Lahaouog","Konk-Leon",29040,"Dour","Mougou Lac'haouog",09/11/2012,120924
,"Toull Grimoñ","Konk-Leon",29040,"Dour","Toull Grimoñ",09/11/2012,120936
,"Mougou Porz Padel","Konk-Leon",29040,"Dour","Mougou Porzh Padell",09/11/2012,120939
,"Ar Mil Bian","Konk-Leon",29040,"Dour","Ar Mil Bihan",09/11/2012,121236
,"Ar Mil Braz","Konk-Leon",29040,"Dour","Ar Mil Bras",09/11/2012,121242
,"Kerreg ar Millour","Konk-Leon",29040,"Karreg","Kerreg ar Milhour",09/11/2012,121274
,"Karreg ar Millour","Konk-Leon",29040,"Karreg","Karreg ar Milhour",09/11/2012,121275
"Crique du","Perzic","Konk-Leon",29040,"Porzh(-mor)","Aod Perzig",09/11/2012,129725
,"Porz Saliog","Konk-Leon",29040,"Dour","Porzh Saliog",09/11/2012,120915
,"Ar Mil Bian","Konk-Leon",29040,"Dour","Ar Vinotier Vihan",09/11/2012,121236
,"Ar Mil Braz","Konk-Leon",29040,"Dour","Ar Vinotier Vras",09/11/2012,121242
,"Lahaouog","Konk-Leon",29040,"Dour","Aod an Derezioù",09/11/2012,120923
,"Ty Richard","Kernaskledenn",56264,"Kêriadenn","Ti Richard",06/11/2012,2568
,"Lanmeur","Rieg",29236,"Kêriadenn","Lanmeur",05/11/2012,118048
,"Croissant Loctudy","Rieg",29236,"Kêriadenn","Kroashent Loktudi",05/11/2012,128165
,"Loctudy","Rieg",29236,"Kêriadenn","Loktudi",05/11/2012,128164
"Chemin du","Bois","An Erge-Vras",29051,"Hent","Hentig ar C'hoad",04/11/2012,129729
"Roche","Kizidi","Konk-Leon",29040,"Dour","Pladenn ar Maen Lamm",04/11/2012,121028
"Place","François Balès","An Erge-Vras",29051,"Monumant","Plasenn Fañch Balès",04/11/2012,129736
"Rue des","Genêts","An Erge-Vras",29051,"Hent","Straed ar Banal",04/11/2012,129737
,"Kerarstivel","Konk-Leon",29040,"Kêriadenn","Kerarstivell",31/10/2012,129683
"Salle de tennis de table","Paul Borreil","Lannuon",22113,"Monumant","Sal tennis-taol Paul Borreil",31/10/2012,129611
"Chemin de","Convenant Goalez","Lannuon",22113,"Hent","Hent Komanant Gwalez",31/10/2012,129707
,"Coz Castel","Konk-Leon",29040,"Karreg","Kozh Kastell",30/10/2012,125089
"Port de","Bloscon","Rosko",29239,"Porzh(-mor)","Porzh Bloskon",29/10/2012,129610
"Pointe de","Bloscon","Rosko",29239,"Beg","Beg Bloskon",29/10/2012,4270
"Rue du","Docteur Schweitzer","Lannuon",22113,"Hent","Straed an Doktor Schweitzer",27/10/2012,116152
"Rue","Frédéric Mistral","Lannuon",22113,"Hent","Straed Frédéric Mistral",27/10/2012,115993
"Rue","Aristide Briand","Lannuon",22113,"Hent","Straed Aristide Briand",27/10/2012,103512
"Rue du","Roudour","Lannuon",22113,"Hent","Straed ar Roudour",27/10/2012,116104
"Stade des","Frères Laurent","Lannuon",22113,"Monumant","Stad ar Vreudeur Laurent",27/10/2012,129612
"Zone d'Activités de","Quillihuec","An Erge-Vras",29051,"Takad","Takad Labourerezh Killihueg",26/10/2012,129604
,"Balgan","Sine",56243,"Kêriadenn","Balgann",25/10/2012,128924
,"Bindre","Sine",56243,"Kêriadenn","Bendr",25/10/2012,128932
,"Brouel","Sine",56243,"Kêriadenn","Brouel",25/10/2012,128959
,"Cano","Sine",56243,"Kêriadenn","Kanoù",25/10/2012,80433
,"Cressignan","Sine",56243,"Kêriadenn","Gresignan",25/10/2012,128951
,"Falguérec","Sine",56243,"Kêriadenn","Falgereg",25/10/2012,128954
"Le","Gouavert","Sine",56243,"Kêriadenn","Gwazhverr",25/10/2012,128957
,"Michotte","Sine",56243,"Kêriadenn","Michod",25/10/2012,128973
,"Montsarrac","Sine",56243,"Kêriadenn","Moñsarag",25/10/2012,6546
,"Brouel Kerbihan","Sine",56243,"Kêriadenn","Brouel Kervihan",25/10/2012,128936
,"Brouel Kerstang","Sine",56243,"Kêriadenn","Brouel Kerstank",25/10/2012,128934
"Lavoir et Fontaine de","Porzh an Ifern","Bear",22004,"Monumant","Stank ha Feunteun Porzh an Ifern",25/10/2012,129593
,"Ozon","Sine",56243,"Kêriadenn","Ozon",25/10/2012,128979
,"Penn Vir","Konk-Leon",29040,"Beg","Penn ar Vir",24/10/2012,121036
"l'","Îlette","Konk-Leon",29040,"Enez","Lined",24/10/2012,119280
,"Bougou Bourdel","Lokmaria-Plouzane",29130,"Beg","Bougou Bourdel",24/10/2012,116284
"Chemin de","Croas ar Baladen","Lannuon",22113,"Hent","Hent Kroaz ar Baladenn",23/10/2012,103571
,"Convenant Goales","Lannuon",22113,"Kêriadenn","Komanant Gwalez",23/10/2012,129459
"La","Croix Neuve","Sine",56243,"Kêriadenn","Ar Groez Nevez",23/10/2012,128952
"Le","Purgatoire","Sine",56243,"Kêriadenn","Ar Purgatoer",23/10/2012,128986
"Pointe du","Bil","Sine",56243,"Beg","Beg ar Bil",23/10/2012,128998
,"Saint-Laurent","Sine",56243,"Kêriadenn","Sant-Laorañs",23/10/2012,128990
,"Goh Feten","Sine",56243,"Kêriadenn","Ar Gozh Feuten",23/10/2012,80436
"La","Villeneuve","Sine",56243,"Kêriadenn","Ar Gernevez",23/10/2012,128996
"La","Garenne","Sine",56243,"Enez","Ar Waremm",23/10/2012,128956
"Chapelle","Kerarden","Sine",56243,"Monumant","Chapel Kerarden",23/10/2012,129021
"Les","Quatre Vents","Sine",56243,"Kêriadenn","Ar Pevar Avel",23/10/2012,128987
"Chapelle de","Saint-Laurent","Sine",56243,"Monumant","Chapel Sant Laorañs",23/10/2012,128991
,"Tenac","Teiz",56251,"Kêriadenn","Tenag",22/10/2012,129525
,"Roc'h ar Conq","Kerlouan",29091,"Karreg","Roc'h ar Gonk",19/10/2012,129505
"L'","Arc de Triomphe","Kerlouan",29091,"Karreg","Roc'h ar Geiel",19/10/2012,129508
,"Kermeur","Mur",22158,"Takad","Kermeur",19/10/2012,129462
,"Talhouët","Teiz",56251,"Kêriadenn","Talc'hoed",19/10/2012,129523
"Zone d'Activités du","Landy","Teiz",56251,"Takad","Takad Labourerezh ar C'hlañdi",19/10/2012,129530
,"Ménémarzin","Molan",29150,"Kêriadenn","Menemarzhin",16/10/2012,68846
"Rue de","Ménémarzin","Molan",29150,"Hent","Straed Menemarzhin",16/10/2012,129488
,"Talforest","Begnen",56017,"Kêriadenn","Talforest",14/10/2012,125067
,"Talhoët (Kerauffret)","Begnen",56017,"Kêriadenn","Talc'hoed (Keraofred)",14/10/2012,125070
"Pont de","Talhoët (l'Eau)","Begnen",56017,"Monumant","Pont Talc'hoed",14/10/2012,125072
,"Talmené","Begnen",56017,"Kêriadenn","Talmenez",14/10/2012,125015
,"Talvern","Begnen",56017,"Kêriadenn","Talwern",14/10/2012,125073
,"Ti Forn","Begnen",56017,"Kêriadenn","Ti Forn",14/10/2012,125220
"Chapelle de la","Trinité","Begnen",56017,"Monumant","Chapel an Drinded",14/10/2012,124988
"La","Vallée","Begnen",56017,"Kêriadenn","La Vallée",14/10/2012,125181
"La","Ville aux Vents","Begnen",56017,"Kêriadenn","La Ville aux Vents - Keravel",14/10/2012,125114
"La","Villeneuve (Talcoët)","Begnen",56017,"Kêriadenn","Ar Gernevez Talkoed",14/10/2012,125116
,"Bel Air","Begnen",56017,"Kêriadenn","Bel Air",14/10/2012,124647
,"Bellevue","Begnen",56017,"Kêriadenn","Bellevue",14/10/2012,124654
"Le","Champ de Bignan","Begnen",56017,"Kêriadenn","Park Begnen",14/10/2012,124712
"Bois de","Bignan","Begnen",56017,"Koad","Koed Begnen",14/10/2012,125602
,"Boderbic","Begnen",56017,"Kêriadenn","Bod ar Big",14/10/2012,124676
,"Bodspern","Begnen",56017,"Kêriadenn","Bodspern",14/10/2012,124677
,"Calpérit","Begnen",56017,"Kêriadenn","Kalperid",14/10/2012,124679
,"Castelneuf","Begnen",56017,"Kêriadenn","Kastell Nevez",14/10/2012,14671
,"Coet er Sale","Begnen",56017,"Kêriadenn","Koed ar Sal",14/10/2012,124733
,"Cohcastel","Begnen",56017,"Kêriadenn","Kozhkastell",14/10/2012,14672
"Le","Cohty","Begnen",56017,"Kêriadenn","Kozhti",14/10/2012,14685
"Croix","Cohty","Begnen",56017,"Monumant","Kroez Kozhti",14/10/2012,124741
"Fontaine","Cohty","Begnen",56017,"Monumant","Feuten Kozhti",14/10/2012,124742
"Lavoir de la Rue de la","Fontaine","Begnen",56017,"Monumant","An Aoglenn",14/10/2012,125246
"Lavoir de la Rue de la","Fontaine","Begnen",56017,"Monumant","An Doued",14/10/2012,125246
"Rue de","Goh Lann","Begnen",56017,"Hent","Ar Gozhlann",14/10/2012,124767
,"Goh Varia","Begnen",56017,"Kêriadenn","Ar Gozhvaria",14/10/2012,124759
"Le","Grand Jardin","Begnen",56017,"Kêriadenn","Ar Jardrin Bras",14/10/2012,124763
"Le","Guerno","Begnen",56017,"Kêriadenn","Ar Gwernoù",14/10/2012,124768
,"Keranne","Begnen",56017,"Kêriadenn","Keranna",14/10/2012,124800
,"Kerbaron","Begnen",56017,"Kêriadenn","Kerbaron",14/10/2012,14686
,"Kerbiguet","Begnen",56017,"Kêriadenn","Kerbiged",14/10/2012,124757
"Ruisseau de","Kercado (Ste-Suzanne)","Begnen",56017,"Dour","Riolenn Kergadoù",14/10/2012,125225
,"Kerdaniel","Begnen",56017,"Kêriadenn","Kerdaniel",14/10/2012,124883
,"Kerdavid","Begnen",56017,"Kêriadenn","Kerdavid",14/10/2012,124891
"Rue du","Stanco","Lannuon",22113,"Hent","Straed ar Stanko",12/10/2012,116161
,"Porh Bihan","Begnen",56017,"Kêriadenn","Porzh Bihan",12/10/2012,125042
"Chemin de","Prat Paul","Begnen",56017,"Hent","Hent Prad Paol",12/10/2012,125049
,"Prat Paul","Mourieg",56140,"Kêriadenn","Prad Paol",12/10/2012,65928
,"Pratel er Groez","Begnen",56017,"Kêriadenn","Pratell ar Groez",12/10/2012,103780
"Le","Presbytère","Begnen",56017,"Monumant","Ar Presbitoer",12/10/2012,125199
"Les","Quatre Chemins","Begnen",56017,"Hent","Ar Pevar Hent",12/10/2012,125054
"Moulin à  vent du","Roc","Begnen",56017,"Monumant","Melin-avel ar Roc'h",12/10/2012,125254
"Moulin du","Roc","Begnen",56017,"Monumant","Melin ar Roc'h",12/10/2012,124916
"Le","Roc","Begnen",56017,"Kêriadenn","Ar Roc'h",12/10/2012,124915
,"Roglas","Begnen",56017,"Kêriadenn","Ar Roc'h Glas",12/10/2012,125036
"Petit","Roglas","Begnen",56017,"Kêriadenn","Ar Roc'h Glas Vihan",12/10/2012,125037
,"Roscornec","Begnen",56017,"Kêriadenn","Roskorneg",12/10/2012,14646
,"Roz Avel","Begnen",56017,"Kêriadenn","Roz Avel",12/10/2012,125061
,"Saint-Just","Begnen",56017,"Kêriadenn","Sant-Just",12/10/2012,14678
"Eglise paroissiale","Saint-Pierre Saint-Paul","Begnen",56017,"Monumant","Iliz Sant Pier-Sant Paol",12/10/2012,125231
"Fontaine","Saint-Eloi","Begnen",56017,"Monumant","Feuten ar Feutenioù",12/10/2012,125252
,"Penhoët","Begnen",56017,"Kêriadenn","Penc'hoed",12/10/2012,125030
"Fontaine","Sainte-Noyale","Begnen",56017,"Monumant","Feuten Santez Nolwenn",12/10/2012,124665
,"Tal er Groez","Begnen",56017,"Kêriadenn","Tal ar Groez",12/10/2012,125221
"Chemin des","Hortensias","Molan",29150,"Hent","Hentig ar C'haouled",12/10/2012,128830
"Le","Passage","Sant-Armael",56205,"Kêriadenn","An Treizh",11/10/2012,6746
"Impasse du","Matelot","Kloar-Karnoed",29031,"Hent","Hent-dall ar Martolod",10/10/2012,129182
,"Kermoisan","Begnen",56017,"Kêriadenn","Kermoezan",09/10/2012,124978
,"Kersalouz Bas","Begnen",56017,"Kêriadenn","Kersalouz Izel",09/10/2012,78374
,"Prad-huel","Begnen",56017,"Kêriadenn","Prad Iuhel",09/10/2012,125051
,"Beuzit","Plougastell-Daoulaz",29189,"Kêriadenn","Beuzid",09/10/2012,31474
,"Kerieven","Plougastell-Daoulaz",29189,"Kêriadenn","Kerieven",09/10/2012,31520
,"Traonliors","Plougastell-Daoulaz",29189,"Kêriadenn","Traonliorzh",09/10/2012,31654
,"Kersalous","Ploneour-Lanwern",29174,"Kêriadenn","Kersalouz",09/10/2012,66504
"Avenue","Pierre Marzin","Lannuon",22113,"Hent","Bali Pierre Marzhin",08/10/2012,129159
"le","Bois du Mur","Ar Faoued",56057,"Kêriadenn","Koad ar Vur",08/10/2012,129155
"Rue","Louis de Broglie","Lannuon",22113,"Hent","Straed Louis de Broglie",08/10/2012,103513
"Chapelle","Saint-Adrien","Plougastell-Daoulaz",29189,"Monumant","Chapel Sant Drenan",05/10/2012,21628
"Impasse des","Trois Puits","Molan",29150,"Hent","Hent-dall an Tri Fuñs",02/10/2012,128864
"Hent","Keravel Braz","Lannuon",22113,"Hent","Hent Keravel Vras",01/10/2012,115802
"Collège","Saint Joseph","Plabenneg",29160,"Monumant","Skolaj Sant Jozef",01/10/2012,210
"Aire de","Gorreguear","Plougin",29196,"Takad","Gorrekear",01/10/2012,129096
"Rue du","Pont de la Niel","Pondi",56178,"Hent","Straed Pont an Niel",01/10/2012,129082
"Crèche La","Ribambelle","Brest",29019,"Monumant","Magouri Ar Grubuilhad Vugale",01/10/2012,148385
,"Corinthe",98888,98888,"Kumun","Korintos",30/09/2012,128307
"Salle","Lan Inisan","Gwinevez",29206,"Monumant","Sal Lan Inizan",28/09/2012,129044
,"Bezidalan","An Elven",56053,"Kêriadenn","Bezidalan",27/09/2012,129001
,"Penanster","Molan",29150,"Kêriadenn","Pennanstêr",27/09/2012,127669
"Route de","Penanster","Molan",29150,"Hent","Hent Pennanstêr",27/09/2012,128834
,"Nombrat","Molan",29150,"Kêriadenn","Nombrad",26/09/2012,127659
"Chemin de","Nombrat","Molan",29150,"Hent","Hentig Nombrad",26/09/2012,128829
,"Pen ar Prat","Molan",29150,"Kêriadenn","Pennamprad",26/09/2012,127668
"Rue de","Pen ar Prat","Molan",29150,"Hent","Straed Pennamprad",26/09/2012,128874
"Fontaine de","Saint-Thumette","Molan",29150,"Monumant","Feunteun Sant Tumed",26/09/2012,127783
"Anse de","Saint-Thumette","Molan",29150,"Dour","Porzh Sant Tumed",26/09/2012,127784
"Route de","Saint-Thumette","Molan",29150,"Hent","Hent Sant-Tumed",26/09/2012,128870
,"Kerhuiten","Molan",29150,"Kêriadenn","Kerc'hwiten",26/09/2012,68790
"Rue de","Kerhuiten","Molan",29150,"Hent","Straed Kerc'hwiten",26/09/2012,128898
"Rue du","Poradec","Kemperle",29233,"Hent","Straed Poradeg",26/09/2012,12972
"Rue","Hérodote","Kemperle",29233,"Hent","Straed Herodotos",26/09/2012,104681
"Rue","Jean-Michel Caradec","Kemperle",29233,"Hent","Straed Jean-Michel Karadeg",26/09/2012,104677
"Etablissement de","Keraliguen","Plañvour",56162,"Hent","Annez Keraligen",26/09/2012,129007
"Rue de","Missilien","Kemper",29232,"Kêriadenn","Straed Misilien",25/09/2012,12907
"Résidence Le","Missilien","Kemper",29232,"Hent","Annez Misilien",25/09/2012,128948
"Place","Ar Stivell","Milizag",29149,"Hent","Plasenn ar Stivell",25/09/2012,128949
"Rue","Lavoisier","Kemperle",29233,"Hent","Straed Lavoiser",25/09/2012,104518
"Parking","Kerglien","Kemperle",29233,"Takad","Parklec'h Kerglien",25/09/2012,128945
"Allée des","Dunes","Kloar-Karnoed",29031,"Hent","Alez ar Palud",24/09/2012,128925
"Rond-point de la","Médaille Militaire","Lannarstêr",56098,"Hent","Kroashent-tro ar Vedalenn Soudard",24/09/2012,128947
"Rue de la","Passerelle","Kemperle",29233,"Hent","Straed an Dreuzell",23/09/2012,104394
"Rue de","Keravel","Lannuon",22113,"Hent","Straed Keravel",22/09/2012,115827
,"Keravel","Lannuon",22113,"Kêriadenn","Keravel",22/09/2012,116295
,"Kermaria","Kemperle",29233,"Kêriadenn","Kermaria",22/09/2012,104128
"Rue de","Kermaria","Kemperle",29233,"Hent","Straed Kermaria",22/09/2012,128944
,"Kerglien","Kemperle",29233,"Kêriadenn","Kerglien",22/09/2012,10459
"Rue de","Kernévénas","Kemperle",29233,"Hent","Straed Kernevenaz",22/09/2012,128946
"Rue","Jean Cras","Kemperle",29233,"Hent","Straed Yann Graz",22/09/2012,104473
"Rue des","Ajoncs","Kloar-Karnoed",29031,"Hent","Straed al Lann",21/09/2012,128941
"Rue","Louis Aragon","Henbont",56083,"Hent","Straed Louis Aragon",21/09/2012,108347
"Rue","Nationale","Henbont",56083,"Hent","Straed Vroadel",21/09/2012,108321
"Place","Maréchal Foch","Henbont",56083,"Hent","Plasenn ar Marichal Foch",21/09/2012,108319
"Rue","Léo Lagrange","Henbont",56083,"Hent","Straed Léo Lagrange",21/09/2012,108507
"Rue","Paul Langevin","Henbont",56083,"Hent","Straed Paul Langevin",21/09/2012,108513
"Rue","Pierre Brossolette","Henbont",56083,"Hent","Straed Pierre Brossolette",21/09/2012,108381
"Rue","Henri Barbusse","Henbont",56083,"Hent","Straed Henri Barbusse",21/09/2012,108353
"Rue","Joliot-Curie","Henbont",56083,"Hent","Straed Joliot-Curie",21/09/2012,108492
"Place de La","Prison","Henbont",56083,"Hent","Plasenn ar Prizon",21/09/2012,128942
"Rue du","Maréchal Joffre","Henbont",56083,"Hent","Straed ar Marichal Joffre",21/09/2012,108491
"Rue de","Kersuluan","Penmarc'h",29158,"Hent","Straed Kersuluan",20/09/2012,93663
,"Vervins","Poullaouen",29227,"Kêriadenn","Ar Vervin",20/09/2012,200
,"Goas ar Gonan","Sant-Hern",29250,"Kêriadenn","Gwazh ar Gonan",20/09/2012,113017
"Chemin de","Nord Coz","Molan",29150,"Hent","Hentig an Nort Kozh",19/09/2012,128855
"Chemin du","Lavoir","Molan",29150,"Hent","Hentig al Lenn",19/09/2012,128851
"Chemin des","Îles","Molan",29150,"Hent","Hentig an Inizi",19/09/2012,128831
"Chemin de la","Carrière","Molan",29150,"Hent","Hentig ar Vengleuz",19/09/2012,128885
"Les","Quatre Chemins","Brec'h",56023,"Kêriadenn","Ar Pevar Hent Vras",19/09/2012,97651
"Rue des","Lucioles","Penmarc'h",29158,"Hent","Straed ar Fibed-luc'h",19/09/2012,128907
"Rue des","Goélands","Penmarc'h",29158,"Hent","Straed ar Gouelini",19/09/2012,85022
"Rue des","Fougères","Molan",29150,"Hent","Straed ar Raden",18/09/2012,128832
,"Milriden","Molan",29150,"Kêriadenn","Milriden",18/09/2012,128037
"Route de","Milriden","Molan",29150,"Hent","Hent Milriden",18/09/2012,128816
"Rue des","Couturières","Molan",29150,"Hent","Straed ar C'hemenerezed",18/09/2012,128888
,"Kerbiquet","Ar Vouster",22157,"Kêriadenn","Kerbiked",18/09/2012,128899
"Rue","Montée Madame","Plañvour",56162,"Hent","Straed Moutenn an Intron",17/09/2012,122598
"Tumulus","Motte à  Madame","Plañvour",56162,"Monumant","Moutenn an Intron",17/09/2012,121866
,"An Aod Veinog","Konk-Leon",29040,"Dour","An Aod Veinok",16/09/2012,120949
"Route du","Pigeonnier","Molan",29150,"Hent","Straed ar C'houldri",16/09/2012,128840
"Impasse des","Prairies","Molan",29150,"Hent","Hent-dall ar Prajoù",16/09/2012,128854
,"Toull Hent","Molan",29150,"Hent","Toull-hent",16/09/2012,127896
"Impasse du","Petit Puits","Molan",29150,"Hent","Hent-dall ar Puñs Bihan",16/09/2012,128869
"Allée des","Troènes","Plañvour",56162,"Hent","Alez al Lugustr",14/09/2012,128892
"Le","Penher","Plañvour",56162,"Kêriadenn","Ar Penc'hêr",14/09/2012,121857
"Route du","Penher","Plañvour",56162,"Hent","Hent ar Penc'hêr",14/09/2012,128893
"Résidence des Hauts de","Keraude","Plañvour",56162,"Monumant","Annez Mane Keraod",14/09/2012,128895
"Route de","Brigneau","Molan",29150,"Hent","Hent Brignaoù",14/09/2012,127527
,"Kernon Argoat","Molan",29150,"Kêriadenn","Kernonn Argoad",14/09/2012,127608
"Route de","Kernon Argoat","Molan",29150,"Hent","Hent Kernonn Argoad",14/09/2012,128836
,"Kercanet","Molan",29150,"Kêriadenn","Kerkaned",14/09/2012,68744
"Route de","Kercanet","Molan",29150,"Hent","Hent Kerkaned",14/09/2012,128837
,"Kervegant","Molan",29150,"Kêriadenn","Kervegant",14/09/2012,127625
"Impasse de","Kervegant","Molan",29150,"Kêriadenn","Hent-dall Kervegant",14/09/2012,128838
,"Poulvez","Molan",29150,"Kêriadenn","Poulvez",14/09/2012,68860
"Route de","Poulvez","Molan",29150,"Hent","Hent Poulvez",14/09/2012,128839
,"Kerel","Molan",29150,"Kêriadenn","Kerel",14/09/2012,127573
"Impasse de","Kerel","Molan",29150,"Hent","Hent-dall Kerel",14/09/2012,128842
,"Kervetot","Molan",29150,"Kêriadenn","Kervetod",14/09/2012,127626
"Impasse de","Kervetot","Molan",29150,"Hent","Hent-dall Kervetod",14/09/2012,128857
,"Lonj Coq","Molan",29150,"Kêriadenn","Loñj ar C'hog",14/09/2012,127643
,"Kerambellec","Molan",29150,"Kêriadenn","Kerambeleg",14/09/2012,127552
"Route de","Kerambellec","Molan",29150,"Hent","Hent Kerambeleg",14/09/2012,128860
"Impasse","Tri Maen","Molan",29150,"Hent","Hent-dall Tri Maen",14/09/2012,128866
"Impasse","Park Lann","Molan",29150,"Hent","Hent-dall Park Lann",14/09/2012,128867
"Impasse","Park Kill","Molan",29150,"Hent","Hent-dall Park Kil",14/09/2012,128868
,"Kervignès","Molan",29150,"Kêriadenn","Kervignez",14/09/2012,68830
"Impasse de","Kervignès","Molan",29150,"Hent","Hent-dall Kervignez",14/09/2012,128871
,"Kerveligen","Molan",29150,"Kêriadenn","Kervelijen",14/09/2012,68826
"Rue de","Kerveligen","Molan",29150,"Hent","Straed Kervelijen",14/09/2012,128875
,"Kerlauret","Molan",29150,"Kêriadenn","Kerlored",14/09/2012,68794
,"Kerioualen","Molan",29150,"Kêriadenn","Kerrioualen",14/09/2012,68834
"Rue de","Kerioualen","Molan",29150,"Hent","Straed Kerrioualen",14/09/2012,128880
"Impasse de","Kerioualen","Molan",29150,"Hent","Hent-dall Kerrioualen",14/09/2012,128881
,"Kerchiminer","Molan",29150,"Kêriadenn","Kerchiminer",14/09/2012,68748
"Rue de","Kerchiminer","Molan",29150,"Hent","Straed Kerchiminer",14/09/2012,128887
,"Penn al Lann","Ar Vouster",22157,"Takad","Penn al Lann",14/09/2012,128900
"Zone d'activités des","Ecoles","Plonevell",29205,"Takad","Takad labourerezh ar Skolioù",14/09/2012,128901
,"Brigneau","Molan",29150,"Kêriadenn","Brignaoù",14/09/2012,4471
"Zone Commerciale de","Kerfontaine","Plunered",56176,"Takad","Takad Kenwerzh Kerfetan",13/09/2012,121142
"La","Vallée des Saints","Karnoed",22031,"Diseurt","Traoñienn ar Sent",13/09/2012,128891
"Résidence","Les Petites Landes","Kloar-Karnoed",29031,"Monumant","Annez al Lann Vihan",13/09/2012,128668
,"Kerimel","Molan",29150,"Kêriadenn","Kerimel",13/09/2012,104610
"Route de","Kerimel","Kloar-Karnoed",29031,"Hent","Hent Kerimel",13/09/2012,128667
,"Kerouz","Molan",29150,"Kêriadenn","Kerrouz",13/09/2012,68808
"Rue de","Kerouze","Molan",29150,"Hent","Straed Kerrouz",13/09/2012,128827
