"stagadenn","lec_hanv","kumun","insee","rummad","dibab","deiziad_degemer","niv"
"Pont du","Forestou","Brest",29019,"Hent","Pont ar Forestoù",23/04/2019,152047
"Pont de la","Villeneuve","Brest",29019,"Hent","Pont ar Gernevez",23/04/2019,152048
"Pont de l'","Harteloire","Brest",29019,"Hent","Pont an Harteloire",23/04/2019,152049
"Pont","Robert Schuman","Brest",29019,"Hent","Pont Robert Schuman",23/04/2019,152050
"Maison de Santé des Monts d'","Arrée","Sizun",29277,"Monumant","Ti-yec'hed Menez Are",23/04/2019,152058
"Résidence du Docteur","Griffe","Landeda",29101,"Hent","Annez an Doktor Griffe",23/04/2019,152060
,"Roch Kerennoc","Landeda",29101,"Diseurt","Roc'h Kerenog",23/04/2019,151979
,"Roc'h ar Baill","Landeda",29101,"Karreg","Roc'h ar Bailh",23/04/2019,152061
,"Toull pri","Landeda",29101,"Diseurt","Toull Pri",23/04/2019,152063
,"Streat meur","Landeda",29101,"Diseurt","Stread Veur",23/04/2019,152062
,"Traon Brouennou","Landeda",29101,"Diseurt","Traoñ Broenoù",23/04/2019,152064
,"Poull ar Ru","Landeda",29101,"Diseurt","Poull ar Ru",23/04/2019,152070
,"Gouer Hir","Landeda",29101,"Diseurt","Gouer Hir",23/04/2019,152076
"Petit","Hospice","Landeda",29101,"Kêriadenn","An Ospital",23/04/2019,152035
"Rue de la","Petite Montagne","Kemper",29232,"Hent","Straed ar Menez Bihan",19/04/2019,152025
"Quai de l'","Adamastor","Molan",29150,"Hent","Kae an Adamastor",19/04/2019,152038
"Rond-point de","Porz Moëlan","Molan",29150,"Hent","Kroashent-tro Porzh Molan",19/04/2019,152037
"Marais de","Sougéal","Sulial",35329,"Takad","Gwern Sulial",19/04/2019,152044
"Rue","Victorine Tréverret","Kemper",29232,"Hent","Straed Victorine Leon Trevered",19/04/2019,148808
"Route des","Anges","Landeda",29101,"Hent","Hent an Aelez",18/04/2019,151939
"Moulin de l'","Enfer","Landeda",29101,"Kêriadenn","Milin an Ifern",18/04/2019,151946
